OPC-N3 Iss1.1 FirmwareVer=1.17a...........................BS
OPC-N3 177702312                                            
Config info:
LaserDAC,186
FanDAC,255
ToFtoSFRfactor,60
PVP(us/48),48
BinNo,Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23
BoundaryADC,14,40,80,120,145,215,340,590,846,1363,2029,2848,4119,5527,7076,8624,10204,11815,13457,15897,18305,20698,22966,25140,27158
Boundary_um,0.350,0.460,0.660,1.000,1.300,1.700,2.300,3.000,4.000,5.200,6.500,8.000,10.000,12.000,14.000,16.000,18.000,20.000,22.000,25.000,28.000,31.000,34.000,37.000,40.000
BinWeighting,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650,1.650
DataRequestInterval(s),1.398
MaxDataArraysPerFile,61798
Data:
Bin0,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,MToFBin1(us/3),MToFBin3,MToFBin5,MToFBin7,SamplingPeriod(s),SFR(ml/s),Temp(C),RH(%),PM_1.000(ug/m^3),PM_2.500(ug/m^3),PM_10.000(ug/m^3),#RjtGlitch,#RjtLong,#RjtRatio,#RjtRange,#FanRevs,LaserStatus
14,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,30,0,0,0.680,3.750,43.048,15.121,0.852,1.288,1.303,0,0,16,0,0,617
12,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.680,3.750,43.035,15.075,0.391,2.367,28.651,2,0,26,3,0,617
23,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,39,0,0.680,3.680,43.078,15.062,1.089,4.481,5.472,3,0,13,1,0,617
13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0.680,3.700,43.062,15.062,0.473,0.542,0.543,0,0,10,1,0,617
17,2,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,57,0,31,0.680,3.710,43.120,15.033,1.496,7.842,18.828,4,0,25,3,0,617
12,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,56,0.680,3.750,43.104,15.078,0.553,5.215,41.899,2,1,14,0,0,617
14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0.680,3.730,43.134,15.158,0.363,0.371,0.371,2,1,18,1,0,617
19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0.680,3.730,43.176,15.303,0.473,0.483,0.483,0,1,18,2,0,617
7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0.680,3.750,43.190,15.303,0.207,0.213,0.213,1,6,19,5,0,617
19,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0.680,3.760,43.190,15.225,0.651,0.725,0.725,2,2,17,2,0,616
15,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.680,3.760,43.190,15.162,0.627,1.497,1.610,1,0,18,0,0,616
20,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,38,35,0,0.680,3.790,43.203,15.130,0.903,2.953,3.705,4,0,26,2,0,616
17,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,38,0,0.680,3.840,43.233,15.117,0.525,2.194,2.921,2,0,16,3,0,616
27,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0.680,3.970,43.216,15.115,1.149,2.001,2.108,2,0,25,1,0,616
26,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,39,0,0.680,3.990,43.302,15.074,0.973,3.397,4.204,0,0,13,2,0,616
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.680,3.990,43.289,15.024,0.226,0.229,0.229,0,0,20,4,0,616
15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0.680,3.970,43.318,15.042,0.482,0.547,0.548,1,0,18,3,0,616
12,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0.680,4.040,43.302,14.975,0.682,0.814,0.815,1,0,31,3,0,616
